"BPQ100D.Code.or.Value","BPQ100D.Value.Description","BPQ100D.Count","BPQ100D.Cumulative","BPQ100D.Skip.to.Item"
"1","Yes",1085,1085,NA
"2","No",247,1332,NA
"7","Refused",0,1332,NA
"9","Don't know",0,1332,NA
".","Missing",5214,6546,NA
