"OPDDAGA.Code.or.Value","OPDDAGA.Value.Description","OPDDAGA.Count","OPDDAGA.Cumulative","OPDDAGA.Skip.to.Item"
"0","No",2337,2337,NA
"1","Yes",19,2356,NA
".","Missing",578,2934,NA
