"DUQ270Q.Code.or.Value","DUQ270Q.Value.Description","DUQ270Q.Count","DUQ270Q.Cumulative","DUQ270Q.Skip.to.Item"
"1 to 60","Range of Values",521,521,NA
"7777","Refused",0,521,NA
"9999","Don't know",0,521,NA
".","Missing",4275,4796,NA
