"CVDVOMAX.Code.or.Value","CVDVOMAX.Value.Description","CVDVOMAX.Count","CVDVOMAX.Cumulative","CVDVOMAX.Skip.to.Item"
"2.3 to 65.07","Range of Values",3453,3453,NA
".","Missing",1699,5152,NA
