"CSXSLTRT.Code.or.Value","CSXSLTRT.Value.Description","CSXSLTRT.Count","CSXSLTRT.Cumulative","CSXSLTRT.Skip.to.Item"
"1 to 100","Range of Values",1595,1595,NA
".","Missing",2113,3708,NA
