"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"734.52517883 to 338460.18501","Range of Values",132151,132151,NA
".","Missing",0,132151,NA
