"MCQ260BH.Code.or.Value","MCQ260BH.Value.Description","MCQ260BH.Count","MCQ260BH.Cumulative","MCQ260BH.Skip.to.Item"
"8","Sister",27,27,"MCQ250C"
".","Missing",9466,9493,""
