"DR1_330Z.Code.or.Value","DR1_330Z.Value.Description","DR1_330Z.Count","DR1_330Z.Cumulative","DR1_330Z.Skip.to.Item"
"0 to 8591.25","Range of Values",9255,9255,NA
".","Missing",507,9762,NA
