"MPQ120g.Code.or.Value","MPQ120g.Value.Description","MPQ120g.Count","MPQ120g.Cumulative","MPQ120g.Skip.to.Item"
"16","Mid-arm - right",77,77,NA
".","Missing",5334,5411,NA
