"DXXRAFAT.Code.or.Value","DXXRAFAT.Value.Description","DXXRAFAT.Count","DXXRAFAT.Cumulative","DXXRAFAT.Skip.to.Item"
"137.5 to 7409.4","Range of Values",4961,4961,NA
".","Missing",819,5780,NA
