"DRXTVB12.Code.or.Value","DRXTVB12.Value.Description","DRXTVB12.Count","DRXTVB12.Cumulative","DRXTVB12.Skip.to.Item"
"0 to 381.08","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
