"VIXKRM2.Code.or.Value","VIXKRM2.Value.Description","VIXKRM2.Count","VIXKRM2.Cumulative","VIXKRM2.Skip.to.Item"
"4.94 to 9.04","Range of Values",6442,6442,NA
"88","Could not obtain",51,6493,NA
".","Missing",497,6990,NA
