"DR1TFA.Code.or.Value","DR1TFA.Value.Description","DR1TFA.Count","DR1TFA.Cumulative","DR1TFA.Skip.to.Item"
"0 to 2538","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
