"RFXC063.Code.or.Value","RFXC063.Value.Description","RFXC063.Count","RFXC063.Cumulative","RFXC063.Skip.to.Item"
"-6.092 to 4.697","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
