"DR1TSFAT.Code.or.Value","DR1TSFAT.Value.Description","DR1TSFAT.Count","DR1TSFAT.Cumulative","DR1TSFAT.Skip.to.Item"
"0 to 158.547","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
