"LBXIRN.Code.or.Value","LBXIRN.Value.Description","LBXIRN.Count","LBXIRN.Cumulative","LBXIRN.Skip.to.Item"
"7 to 380","Range of Values",3096,3096,NA
".","Missing",442,3538,NA
