"DSQTFDFE.Code.or.Value","DSQTFDFE.Value.Description","DSQTFDFE.Count","DSQTFDFE.Cumulative","DSQTFDFE.Skip.to.Item"
"1.4 to 13600","Range of Values",2478,2478,NA
".","Missing",7671,10149,NA
