"CIQG36.Code.or.Value","CIQG36.Value.Description","CIQG36.Count","CIQG36.Cumulative","CIQG36.Skip.to.Item"
"0 to 365","Range of Values",70,70,NA
"777","Refused",0,70,NA
"999","Don't know",4,74,NA
".","Missing",704,778,NA
