"MCQ260BD.Code.or.Value","MCQ260BD.Value.Description","MCQ260BD.Count","MCQ260BD.Cumulative","MCQ260BD.Skip.to.Item"
"4","Mother's father",46,46,"MCQ250C"
".","Missing",9447,9493,""
