"WBXP025.Code.or.Value","WBXP025.Value.Description","WBXP025.Count","WBXP025.Cumulative","WBXP025.Skip.to.Item"
"-163.0009 to 148.0918","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
