"CBD130.Code.or.Value","CBD130.Value.Description","CBD130.Count","CBD130.Cumulative","CBD130.Skip.to.Item"
"0 to 5357","Range of Values",10253,10253,NA
"777777","Refused",21,10274,NA
"999999","Don't know",153,10427,NA
".","Missing",110,10537,NA
