"LBCOXY.Code.or.Value","LBCOXY.Value.Description","LBCOXY.Count","LBCOXY.Cumulative","LBCOXY.Skip.to.Item"
"22.63 to 303.5","Range of Values",296,296,NA
".","Missing",5,301,NA
