"URXP06.Code.or.Value","URXP06.Value.Description","URXP06.Count","URXP06.Cumulative","URXP06.Skip.to.Item"
"3.5 to 10427.4","Range of Values",2449,2449,NA
".","Missing",189,2638,NA
