"LBXGLT.Code.or.Value","LBXGLT.Value.Description","LBXGLT.Count","LBXGLT.Cumulative","LBXGLT.Skip.to.Item"
"31 to 539","Range of Values",2287,2287,NA
".","Missing",528,2815,NA
