"DR1IFA.Code.or.Value","DR1IFA.Value.Description","DR1IFA.Count","DR1IFA.Cumulative","DR1IFA.Skip.to.Item"
"0 to 2488","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
