"AUXRR132.Code.or.Value","AUXRR132.Value.Description","AUXRR132.Count","AUXRR132.Cumulative","AUXRR132.Skip.to.Item"
"-45 to 44","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
