"URDMADLC.Code.or.Value","URDMADLC.Value.Description","URDMADLC.Count","URDMADLC.Cumulative","URDMADLC.Skip.to.Item"
"0","At or above the detection limit",2623,2623,NA
"1","Below lower detection limit",32,2655,NA
".","Missing",324,2979,NA
