"OPDSPPA.Code.or.Value","OPDSPPA.Value.Description","OPDSPPA.Count","OPDSPPA.Cumulative","OPDSPPA.Skip.to.Item"
"0","No",2249,2249,NA
"1","Questionable",66,2315,NA
"2","Yes",132,2447,NA
".","Missing",487,2934,NA
