"WBXA025.Code.or.Value","WBXA025.Value.Description","WBXA025.Count","WBXA025.Cumulative","WBXA025.Skip.to.Item"
"-11.2401 to 0.9992","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
