"CIQG27.Code.or.Value","CIQG27.Value.Description","CIQG27.Count","CIQG27.Cumulative","CIQG27.Skip.to.Item"
"1","Yes",0,0,"CIQG29"
"2","No",1,1,"CIQG29"
"7","Refused",0,1,"CIQG29"
"9","Don't know",0,1,"CIQG29"
".","Missing",927,928,""
