"ALQ140U.Code.or.Value","ALQ140U.Value.Description","ALQ140U.Count","ALQ140U.Cumulative","ALQ140U.Skip.to.Item"
"1","Week",348,348,NA
"2","Month",263,611,NA
"3","Year",659,1270,NA
"7","Refused",0,1270,NA
"9","Don't know",0,1270,NA
".","Missing",4437,5707,NA
