"LBDMONO.Code.or.Value","LBDMONO.Value.Description","LBDMONO.Count","LBDMONO.Cumulative","LBDMONO.Skip.to.Item"
"0.1 to 3.4","Range of Values",8519,8519,NA
".","Missing",903,9422,NA
