"DRD350B.Code.or.Value","DRD350B.Value.Description","DRD350B.Count","DRD350B.Cumulative","DRD350B.Skip.to.Item"
"1","Yes",297,297,""
"2","No",1008,1305,"DRD350C"
".","Missing",9172,10477,""
