"URDMB3LC.Code.or.Value","URDMB3LC.Value.Description","URDMB3LC.Count","URDMB3LC.Cumulative","URDMB3LC.Skip.to.Item"
"0","At or above the detection limit",3079,3079,NA
"1","Below lower detection limit",90,3169,NA
".","Missing",148,3317,NA
