"DR1TS080.Code.or.Value","DR1TS080.Value.Description","DR1TS080.Count","DR1TS080.Cumulative","DR1TS080.Skip.to.Item"
"0 to 16.081","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
