"AUDTYR35.Code.or.Value","AUDTYR35.Value.Description","AUDTYR35.Count","AUDTYR35.Cumulative","AUDTYR35.Skip.to.Item"
"0 to 2.03","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
