"CFDCST2.Code.or.Value","CFDCST2.Value.Description","CFDCST2.Count","CFDCST2.Cumulative","CFDCST2.Skip.to.Item"
"0 to 10","Range of Values",1678,1678,NA
".","Missing",107,1785,NA
