"OSQ090a.Code.or.Value","OSQ090a.Value.Description","OSQ090a.Count","OSQ090a.Cumulative","OSQ090a.Skip.to.Item"
"1","Yes",685,685,"OSQ120a"
"2","No",236,921,""
"7","Refused",0,921,"OSQ120a"
"9","Don't know",1,922,"OSQ120a"
".","Missing",2893,3815,""
