"DS1IVB2.Code.or.Value","DS1IVB2.Value.Description","DS1IVB2.Count","DS1IVB2.Cumulative","DS1IVB2.Skip.to.Item"
"0.03 to 400","Range of Values",1115,1115,NA
".","Missing",4953,6068,NA
