"LBX052LA.Code.or.Value","LBX052LA.Value.Description","LBX052LA.Count","LBX052LA.Cumulative","LBX052LA.Skip.to.Item"
"1 to 64.8","Range of Values",1537,1537,NA
".","Missing",1010,2547,NA
