"AUDTYR80.Code.or.Value","AUDTYR80.Value.Description","AUDTYR80.Count","AUDTYR80.Cumulative","AUDTYR80.Skip.to.Item"
"0 to 0.25","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
