"CIQD008.Code.or.Value","CIQD008.Value.Description","CIQD008.Count","CIQD008.Cumulative","CIQD008.Skip.to.Item"
"1","Yes",39,39,""
"2","No",602,641,"CIQD014"
"7","Refuse",0,641,"CIQD014"
"9","Don't know",0,641,"CIQD014"
".","Missing",137,778,""
