"BAXFTC41.Code.or.Value","BAXFTC41.Value.Description","BAXFTC41.Count","BAXFTC41.Cumulative","BAXFTC41.Skip.to.Item"
"0 to 29","Range of Values",1425,1425,NA
".","Missing",1661,3086,NA
