"AUDTYL33.Code.or.Value","AUDTYL33.Value.Description","AUDTYL33.Count","AUDTYL33.Cumulative","AUDTYL33.Skip.to.Item"
"0 to 2.28","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
