"WBXF045.Code.or.Value","WBXF045.Value.Description","WBXF045.Count","WBXF045.Cumulative","WBXF045.Skip.to.Item"
"1334.8399 to 1334.8399","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
