"AUXU8KL.Code.or.Value","AUXU8KL.Value.Description","AUXU8KL.Count","AUXU8KL.Cumulative","AUXU8KL.Skip.to.Item"
"-10 to 110","Range of Values",2138,2138,NA
"666","No response",47,2185,NA
"888","Could not obtain",17,2202,NA
".","Missing",166,2368,NA
