"PAQ759c.Code.or.Value","PAQ759c.Value.Description","PAQ759c.Count","PAQ759c.Cumulative","PAQ759c.Skip.to.Item"
"3","BOCCE BALL",4,4,NA
".","Missing",9480,9484,NA
