"LBD049LC.Code.or.Value","LBD049LC.Value.Description","LBD049LC.Count","LBD049LC.Cumulative","LBD049LC.Skip.to.Item"
"0","At or above the detection limit",1,1,NA
"1","Below lower detection limit",263,264,NA
".","Missing",0,264,NA
