"LBX199LA.Code.or.Value","LBX199LA.Value.Description","LBX199LA.Count","LBX199LA.Cumulative","LBX199LA.Skip.to.Item"
"1.1 to 162","Range of Values",2292,2292,NA
".","Missing",255,2547,NA
