"DXXL3A.Code.or.Value","DXXL3A.Value.Description","DXXL3A.Count","DXXL3A.Cumulative","DXXL3A.Skip.to.Item"
"6.76 to 23.47","Range of Values",6307,6307,NA
".","Missing",1427,7734,NA
