"URDCNPLC.Code.or.Value","URDCNPLC.Value.Description","URDCNPLC.Count","URDCNPLC.Cumulative","URDCNPLC.Skip.to.Item"
"0","At or above the detection limit",2470,2470,NA
"1","Below lower detection limit",19,2489,NA
".","Missing",105,2594,NA
