"FSQ171.Code.or.Value","FSQ171.Value.Description","FSQ171.Count","FSQ171.Cumulative","FSQ171.Skip.to.Item"
"1","Yes",2188,2188,""
"2","No",886,3074,"FSQ162"
"7","Refused",0,3074,"FSQ162"
"9","Don't know",1,3075,"FSQ162"
".","Missing",7074,10149,""
