"DR2TPHOS.Code.or.Value","DR2TPHOS.Value.Description","DR2TPHOS.Count","DR2TPHOS.Cumulative","DR2TPHOS.Skip.to.Item"
"0 to 6829","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
