"RXDUSE.Code.or.Value","RXDUSE.Value.Description","RXDUSE.Count","RXDUSE.Cumulative","RXDUSE.Skip.to.Item"
"1","Yes",14100,14100,""
"2","No",6089,20189,"End of Section"
"7","Refused",4,20193,"End of Section"
"9","Don't know",1,20194,"End of Section"
".","Missing",0,20194,""
