"LBCBR2LA.Code.or.Value","LBCBR2LA.Value.Description","LBCBR2LA.Count","LBCBR2LA.Cumulative","LBCBR2LA.Skip.to.Item"
"0.2551 to 5.206","Range of Values",300,300,NA
".","Missing",1,301,NA
