"LBXVEA.Code.or.Value","LBXVEA.Value.Description","LBXVEA.Count","LBXVEA.Cumulative","LBXVEA.Skip.to.Item"
"0.112 to 142","Range of Values",2893,2893,NA
".","Missing",373,3266,NA
