"OHXIMP.Code.or.Value","OHXIMP.Value.Description","OHXIMP.Count","OHXIMP.Cumulative","OHXIMP.Skip.to.Item"
"1","Yes",25,25,NA
"2","No",7175,7200,NA
".","Missing",1387,8587,NA
