"DR2TPROT.Code.or.Value","DR2TPROT.Value.Description","DR2TPROT.Count","DR2TPROT.Cumulative","DR2TPROT.Skip.to.Item"
"0 to 555.67","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
