"LBXV2P.Code.or.Value","LBXV2P.Value.Description","LBXV2P.Count","LBXV2P.Cumulative","LBXV2P.Skip.to.Item"
"0.0707 to 0.0707","Range of Values",2998,2998,NA
".","Missing",547,3545,NA
