"PAQ759p.Code.or.Value","PAQ759p.Value.Description","PAQ759p.Count","PAQ759p.Cumulative","PAQ759p.Skip.to.Item"
"16","OTHER (SPECIFY)",56,56,NA
".","Missing",9428,9484,NA
