"BPQ060.Code.or.Value","BPQ060.Value.Description","BPQ060.Count","BPQ060.Cumulative","BPQ060.Skip.to.Item"
"1","Yes",4218,4218,""
"2","No",1518,5736,"End of Section"
"7","Refused",1,5737,"End of Section"
"9","Don't know",198,5935,"End of Section"
".","Missing",611,6546,""
