"AUXR8KR.Code.or.Value","AUXR8KR.Value.Description","AUXR8KR.Count","AUXR8KR.Cumulative","AUXR8KR.Skip.to.Item"
"25 to 95","Range of Values",34,34,NA
"666","No response",0,34,NA
"888","Could not obtain",0,34,NA
".","Missing",4548,4582,NA
