"DX2LAPF.Code.or.Value","DX2LAPF.Value.Description","DX2LAPF.Count","DX2LAPF.Cumulative","DX2LAPF.Skip.to.Item"
"11.8 to 60.9","Range of Values",464,464,NA
".","Missing",21,485,NA
