"URDUMOLC.Code.or.Value","URDUMOLC.Value.Description","URDUMOLC.Count","URDUMOLC.Cumulative","URDUMOLC.Skip.to.Item"
"0","At or above the detection limit",2848,2848,NA
"1","Below lower detection limit",0,2848,NA
".","Missing",93,2941,NA
